,gain,cumulative_cost
"SLC6A6,P2RY13,SLC6A6,LILRB4,SEMA4A,P2RY13,SEMA4A,LILRB4",0.0,3.410852713178294
"SEMA4A,CD96,SEMA4A,CD38,P2RY13,CD96,P2RY13,CD38",0.0,3.4108527131782944
"SEMA4A,LTB4R,SEMA4A,FUT3,P2RY13,LTB4R,P2RY13,FUT3",0.0,3.4108527131782944
"CR1,CD96,CR1,CD38,LILRB4,CD96,LILRB4,CD38",0.0,3.4108527131782944
"CR1,SEMA4A,CR1,LTB4R,CD33,SEMA4A,CD33,LTB4R",0.0,3.4108527131782944
"ITGAX,LTB4R,ITGAX,P2RY13,CR1,LTB4R,CR1,P2RY13",0.0,3.4108527131782944
"CR1,LTB4R,CR1,LILRB4,FUT3,LTB4R,FUT3,LILRB4",0.0,3.410852713178295
"CR1,LILRB4,CR1,FUT3,CLEC12A,LILRB4,CLEC12A,FUT3",0.0,3.4263565891472867
"SEMA4A,FUT3,SEMA4A,CLEC12A,P2RY13,FUT3,P2RY13,CLEC12A",0.0,3.4263565891472867
"CR1,CD33,CR1,CLEC12A,SEMA4A,CD33,SEMA4A,CLEC12A",0.0,3.4263565891472867
"ITGAX,CD96,ITGAX,FUT3,LTB4R,CD96,LTB4R,FUT3",0.0,3.4263565891472867
"ITGAX,CR1,ITGAX,CLEC12A,P2RY13,CR1,P2RY13,CLEC12A",0.0,3.4263565891472867
"SLC6A6,ITGAX,SLC6A6,CD96,LILRB4,ITGAX,LILRB4,CD96",0.0,3.4263565891472867
"TNFRSF1B,LTB4R,TNFRSF1B,P2RY13,SEMA4A,LTB4R,SEMA4A,P2RY13",0.0,3.441860465116279
"TNFRSF1B,CR1,TNFRSF1B,LILRB4,LTB4R,CR1,LTB4R,LILRB4",0.0,3.441860465116279
"LTB4R,CD33,LTB4R,CLEC12A,P2RY13,CD33,P2RY13,CLEC12A",0.0,3.441860465116279
"EMC10,LTB4R,EMC10,LILRB4,CD96,LTB4R,CD96,LILRB4",0.0,3.441860465116279
"ITGAX,CD96,ITGAX,CLEC12A,FUT3,CD96,FUT3,CLEC12A",0.0,3.441860465116279
"EMC10,CD96,EMC10,CLEC12A,LILRB4,CD96,LILRB4,CLEC12A",0.0,3.457364341085271
"CR1,P2RY13,CR1,FUT3,CD96,P2RY13,CD96,FUT3",0.0,3.457364341085271
"TNFRSF1B,CR1,TNFRSF1B,CLEC12A,LILRB4,CR1,LILRB4,CLEC12A",0.0,3.4573643410852712
"TNFRSF1B,P2RY13,TNFRSF1B,CLEC12A,SEMA4A,P2RY13,SEMA4A,CLEC12A",0.0,3.4573643410852712
"TNFRSF1B,ITGAX,TNFRSF1B,CD96,LTB4R,ITGAX,LTB4R,CD96",0.0,3.4573643410852717
"CD82,SEMA4A,CD82,P2RY13,LILRB4,SEMA4A,LILRB4,P2RY13",0.0,3.4728682170542635
"TNFRSF1B,CD96,TNFRSF1B,CLEC12A,ITGAX,CD96,ITGAX,CLEC12A",0.0,3.4728682170542635
"SEMA4A,CD96,SEMA4A,CD38,LTB4R,CD96,LTB4R,CD38",0.0,3.4728682170542635
"SLC6A6,LTB4R,SLC6A6,LILRB4,SEMA4A,LTB4R,SEMA4A,LILRB4",0.0,3.472868217054264
"CD82,ITGAX,CD82,LILRB4,CD96,ITGAX,CD96,LILRB4",0.0,3.4883720930232553
"ITGAX,CR1,ITGAX,CLEC12A,LTB4R,CR1,LTB4R,CLEC12A",0.0,3.488372093023256
"SEMA4A,CD96,SEMA4A,CD38,CLEC12A,CD96,CLEC12A,CD38",0.0,3.488372093023256
"SLC6A6,LILRB4,SLC6A6,CLEC12A,SEMA4A,LILRB4,SEMA4A,CLEC12A",0.0,3.488372093023256
"TNFRSF1B,CR1,TNFRSF1B,CD96,P2RY13,CR1,P2RY13,CD96",0.0,3.488372093023256
"SEMA4A,FUT3,SEMA4A,CLEC12A,LTB4R,FUT3,LTB4R,CLEC12A",0.0,3.488372093023256
"P2RY13,FUT3,P2RY13,CD33,LILRB4,FUT3,LILRB4,CD33",0.0,3.503875968992248
"ITGAX,SEMA4A,ITGAX,LILRB4,CD38,SEMA4A,CD38,LILRB4",0.0,3.503875968992248
"SLC6A6,P2RY13,SLC6A6,CD96,SEMA4A,P2RY13,SEMA4A,CD96",0.0,3.5193798449612395
"SLC6A6,CR1,SLC6A6,CD96,LILRB4,CR1,LILRB4,CD96",0.0,3.51937984496124
"CR1,LTB4R,CR1,FUT3,CD96,LTB4R,CD96,FUT3",0.0,3.51937984496124
"TNFRSF1B,LTB4R,TNFRSF1B,CLEC12A,SEMA4A,LTB4R,SEMA4A,CLEC12A",0.0,3.5193798449612403
"CR1,CD96,CR1,CLEC12A,FUT3,CD96,FUT3,CLEC12A",0.0,3.5348837209302326
"CD82,SEMA4A,CD82,LTB4R,LILRB4,SEMA4A,LILRB4,LTB4R",0.0,3.5348837209302326
"TNFRSF1B,LILRB4,TNFRSF1B,CD33,P2RY13,LILRB4,P2RY13,CD33",0.0,3.5348837209302326
"ITGAX,CR1,ITGAX,CD33,SEMA4A,CR1,SEMA4A,CD33",0.0,3.5503875968992245
"ITGAX,SEMA4A,ITGAX,P2RY13,FUT3,SEMA4A,FUT3,P2RY13",0.0,3.550387596899225
"TNFRSF1B,CR1,TNFRSF1B,CD96,LTB4R,CR1,LTB4R,CD96",0.0,3.550387596899225
